País    ;Estado           ;Estado Tránsito      ;Factura compra;Foto;Declaración;Prueba entrega;Consolidado;Das;Fecha registro;Fecha ingreso;Tiempo para foto;Delta foto-registro datos;Delta registro datos-ubicación bodega;Delta ubicación bodega-tránsito;Tiempo en bodega
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;3/02/2022    ;1,65            ;17,64                    ;                                     ;                               ;0,01
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;3/02/2022    ;68,64           ;1094,83                  ;                                     ;                               ;0,81
Colombia;En Tránsito      ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;5,14
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;2,14
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;1,12
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;4/02/2022    ;                ;                         ;                                     ;                               ;0,47
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;8,97            ;49,88                    ;228,96                               ;0,9                            ;1,1
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;5,84            ;49,35                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;8/02/2022    ;100,63          ;125,91                   ;                                     ;                               ;0,16
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;11/02/2022   ;51,08           ;                         ;                                     ;10,26                          ;13,01
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;8/02/2022    ;1356,61         ;34,45                    ;                                     ;                               ;0,97
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;39,23           ;42,58                    ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;88,22           ;15,8                     ;2544,15                              ;-0,77                          ;1,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;112,12          ;4,14                     ;0,16                                 ;0,98                           ;1,07
Colombia;En Tránsito      ;En reparto           ;Si            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;8/02/2022    ;121,88          ;24,46                    ;                                     ;                               ;0,1
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;110,15          ;31,3                     ;87,9                                 ;0,9                            ;1,06
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;87,81           ;15,57                    ;125,94                               ;6,94                           ;7,09
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;86,02           ;11,12                    ;127,93                               ;0,91                           ;1,06
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;87,88           ;3,36                     ;136,92                               ;11,94                          ;12,1
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;78,28           ;5,59                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;34,4            ;35,61                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;83,49           ;13,25                    ;119,98                               ;0,91                           ;1,06
Colombia;En Tránsito      ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;16,44           ;29,01                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;12,5            ;36,72                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;88,84           ;34,66                    ;88,12                                ;0,91                           ;1,05
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;88,44           ;25,25                    ;                                     ;                               ;0,08
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;70,85           ;9,42                     ;128,58                               ;0,91                           ;1,05
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;7,08
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;14,12
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;13,1
Colombia;Entregado        ;Demorado en aduana   ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;12,09
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;9,09
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;8,1
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;5,07
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;6,09
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;2,07
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;1,05
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;5,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;44,84           ;23,81                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;31,73           ;18,48                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;26,71           ;11,55                    ;                                     ;                               ;0,03
Colombia;Entregado        ;Entregado a aerolínea;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;2,03
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;1,01
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;41,43           ;53,04                    ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;29,24           ;30,56                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;51,26           ;66,73                    ;2451,32                              ;-0,77                          ;1,01
Colombia;En Tránsito      ;En reparto           ;Si            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;7/02/2022    ;27,29           ;30,72                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;46,21           ;27,83                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;41,4            ;52,42                    ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;43,72           ;54,12                    ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;7/02/2022    ;211,85          ;1054,42                  ;406,23                               ;0,96                           ;2,12
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;35,54           ;21,63                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;31,14           ;21,5                     ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;23,95           ;44,86                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;38,41           ;64,17                    ;                                     ;                               ;0,07
Colombia;En Bodega        ;Retenido             ;No            ;Si  ;No         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;31,41           ;43,02                    ;60,2                                 ;                               ;
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;1117,91         ;2,89                     ;                                     ;                               ;0,78
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;6,98            ;43,57                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;35,7            ;57,92                    ;41,51                                ;13,97                          ;14,06
Colombia;En Bodega        ;                     ;No            ;Si  ;No         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;151,84          ;924,24                   ;125,24                               ;                               ;
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;110,39          ;5,23                     ;                                     ;                               ;0,08
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;108,53          ;4,33                     ;                                     ;                               ;0,08
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;103,44          ;6,78                     ;                                     ;                               ;0,08
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;145,65          ;922,77                   ;                                     ;                               ;0,74
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;1111,99         ;8,27                     ;                                     ;                               ;0,78
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;124,25          ;933,11                   ;                                     ;                               ;0,73
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;121,87          ;34,68                    ;                                     ;                               ;0,11
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;104,6           ;-0,17                    ;942,2                                ;0,27                           ;0,99
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;120,18          ;21,38                    ;                                     ;                               ;0,1
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;97,23           ;9,04                     ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;112,62          ;20,05                    ;                                     ;                               ;0,09
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;3/02/2022    ;19,65           ;25,26                    ;                                     ;                               ;0,03
Colombia;En Bodega        ;                     ;No            ;Si  ;No         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;146,76          ;2,05                     ;894,35                               ;                               ;
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;99,24           ;6,7                      ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;81,11           ;8,51                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;141,45          ;919,19                   ;                                     ;                               ;0,74
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;81,38           ;9,39                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;78,15           ;15,42                    ;22,82                                ;0,91                           ;0,99
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;7/02/2022    ;12,62           ;3,56                     ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;122,26          ;9,54                     ;                                     ;                               ;0,09
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;80,6            ;12,65                    ;                                     ;                               ;0,06
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;138,45          ;917,1                    ;                                     ;                               ;0,73
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;113,61          ;28,45                    ;                                     ;                               ;0,98
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;87,97           ;3,29                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;78,57           ;7,19                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;76,55           ;7,02                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,61
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,61
Colombia;En Tránsito      ;Retenido             ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,61
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,61
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;7/02/2022    ;                ;                         ;                                     ;                               ;0,43
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;3/02/2022    ;                ;                         ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,02
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;0,68            ;45,81                    ;50,74                                ;0,91                           ;0,97
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,01
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;7/02/2022    ;15,85           ;15,45                    ;2,86                                 ;4,2                            ;4,22
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;10/02/2022   ;128,87          ;33,13                    ;                                     ;                               ;0,11
Colombia;Entregado        ;Retenido             ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;
Colombia;Entregado        ;Retenido             ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;1,93
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;1,93
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;1,93
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;1,93
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,91
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,91
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,91
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,91
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,91
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,91
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;0,91
Colombia;Entregado        ;En reparto           ;Si            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;9/02/2022    ;                ;                         ;                                     ;                               ;0,34
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;3/02/2022    ;                ;                         ;                                     ;                               ;0,48
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;4/02/2022    ;20,03           ;25,36                    ;68,7                                 ;12,96                          ;13,04
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;2/02/2022    ;                ;                         ;                                     ;                               ;5,5
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;7/02/2022    ;18,85           ;7,16                     ;                                     ;                               ;0,02
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;7/02/2022    ;33,27           ;64,18                    ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;14/02/2022   ;72,44           ;950,89                   ;                                     ;                               ;0,71
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;8/02/2022    ;102,46          ;100,23                   ;                                     ;                               ;0,14
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;7/02/2022    ;14,49           ;3,24                     ;                                     ;                               ;0,01
Colombia;Entregado        ;Entregado a aerolínea;No            ;No  ;Si         ;Si            ;No         ;No ;2/02/2022     ;8/02/2022    ;                ;                         ;                                     ;                               ;0,6
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;2/02/2022     ;3/02/2022    ;36,42           ;41,32                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;4/02/2022    ;18,44           ;131,08                   ;                                     ;                               ;0,1
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;3/02/2022    ;146,58          ;1054,06                  ;                                     ;                               ;0,83
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;3/02/2022    ;25,98           ;1244,33                  ;                                     ;                               ;0,88
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;No            ;No         ;No ;2/02/2022     ;3/02/2022    ;74,45           ;43,57                    ;                                     ;                               ;0,08
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;3/02/2022     ;3/02/2022    ;4,74            ;1207                     ;                                     ;                               ;0,84
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;7/02/2022    ;328,21          ;10,29                    ;                                     ;                               ;0,24
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;No            ;No         ;No ;3/02/2022     ;7/02/2022    ;                ;                         ;                                     ;                               ;0,64
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;7/02/2022    ;1251,5          ;71,63                    ;                                     ;                               ;0,92
Colombia;En Tránsito      ;En reparto           ;Si            ;Si  ;Si         ;No            ;No         ;No ;3/02/2022     ;3/02/2022    ;30,67           ;1092,28                  ;                                     ;                               ;0,78
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;2,07            ;12,12                    ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;68,49           ;4,26                     ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;7,09            ;9,1                      ;81,39                                ;0,17                           ;0,23
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;59,34           ;9,49                     ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;54,05           ;10,68                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;3/02/2022     ;3/02/2022    ;46,14           ;9,21                     ;39,69                                ;1,18                           ;1,25
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;46,61           ;3,88                     ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;33,54           ;16,6                     ;41,72                                ;0,17                           ;0,23
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;                ;                         ;                                     ;                               ;1,24
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;                ;                         ;                                     ;                               ;0,23
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;27,86           ;17,63                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;25,54           ;14,59                    ;                                     ;                               ;0,03
Colombia;Entregado        ;Entregado a aerolínea;No            ;No  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;                ;                         ;47,92                                ;0,24                           ;1,06
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;3/02/2022     ;3/02/2022    ;57,51           ;2,55                     ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;34,47           ;12,74                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;60,36           ;7,55                     ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;77,92           ;20,75                    ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;60,56           ;7,65                     ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;74,56           ;12,44                    ;                                     ;                               ;0,06
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;31,03           ;88,97                    ;                                     ;                               ;0,08
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;3/02/2022     ;3/02/2022    ;66,43           ;2,15                     ;                                     ;                               ;0,05
